REG,PREF,SPREF,DIST,SPREF4,DIST6,LANG_D,LANGLIB,DIST_D,LAT_D,LONG_D,ALT_D,NLIG_S,NOMS_STRUCTURES,STAT_S,TYPE_S,LITS,MEDECINS,INFIRMIERS,SAGEFEM,ATS,AUTRES,LAT_S,LONG_S,ALT_S
Nzérékoré  8,Macenta 84,8.0,3.0,8408.0,840803.0,6.0, ,11.0,8.44296,9.49526,572.0,1.0,Poste de santé de Bokoni,1.0,2.0,,,,,3.0,,8.4444,-9.49568,556.0
Nzérékoré  8,Macenta 84,8.0,4.0,8408.0,840804.0,9.0,Mania,3.0,8.48861,9.45439,547.0,1.0,Poste de sante de Bongomadou,1.0,2.0,,,,,2.0,,8.48763,-9.45698,527.0
Nzérékoré  8,Macenta 84,7.0,2.0,8407.0,840702.0,6.0, ,3.0,7.93501,9.34573,479.0,1.0,Poste de santé de Brébezou,1.0,2.0,,,,,1.0,1.0,7.93484,-9.34403,479.0
Nzérékoré  8,Macenta 84,7.0,3.0,8407.0,840703.0,5.0, ,18.0,7.77957,9.33203,445.0,1.0,Poste de santé de Gozoguizia,1.0,2.0,,,,,1.0,2.0,7.77944,-9.33097,450.0
Nzérékoré  8,Macenta 84,7.0,7.0,8407.0,840707.0,5.0, ,13.0,7.85806,9.28347,456.0,1.0,Poste de santé de Loo,1.0,2.0,,,,,1.0,3.0,7.85425,-9.27982,467.0
Nzérékoré  8,Macenta 84,7.0,9.0,8407.0,840709.0,6.0, ,12.0,7.95013,9.2697,462.0,1.0,Poste de santé de N'zappa II,1.0,2.0,,,,1.0,,5.0,7.94948,-9.27295,469.0
Nzérékoré  8,Macenta 84,7.0,12.0,8407.0,840712.0,5.0, ,18.0,7.87103,9.24023,462.0,1.0,Poste de santé de Zatioula,1.0,2.0,,,,,1.0,1.0,7.86913,-9.24258,456.0
Nzérékoré  8,Macenta 84,6.0,4.0,8406.0,840604.0,3.0, ,20.0,8.56404,9.04025,547.0,1.0,POSTE DE SANTE,1.0,2.0,,,,,1.0,,8.5612,-9.03905,532.0
Nzérékoré  8,Macenta 84,6.0,2.0,8406.0,840602.0,6.0, ,27.0,8.39566,8.96807,549.0,1.0,POSTE DE SANTE DE DANDANO II,1.0,2.0,,,,,1.0,5.0,8.39517,-8.97087,552.0
Nzérékoré  8,Macenta 84,6.0,5.0,8406.0,840605.0,6.0, ,27.0,8.30903,9.03393,544.0,1.0,POSTE DE SANTE DE GOBOELA,1.0,2.0,,,,,1.0,12.0,8.30762,-9.03569,533.0
Nzérékoré  8,Macenta 84,6.0,8.0,8406.0,840608.0,3.0, ,,8.44506,9.13618,543.0,1.0,POSTE DE SANTE DE KOUANKAN II,1.0,2.0,,,1.0,,5.0,6.0,8.44756,-9.13445,529.0
Nzérékoré  8,Macenta 84,5.0,2.0,8405.0,840502.0,6.0, ,7.0,8.05039,9.30801,469.0,1.0,POSTE DE SANTE DE NOBOROTONO,1.0,2.0,,,,,1.0,2.0,8.04755,-9.30849,475.0
Nzérékoré  8,Macenta 84,5.0,3.0,8405.0,840503.0,6.0, ,14.0,8.04332,9.25079,474.0,1.0,POSTE DE SANTE DE TILIBAYE,1.0,2.0,,,,,1.0,3.0,8.04317,-9.25205,474.0
Nzérékoré  8,Macenta 84,5.0,4.0,8405.0,840504.0,6.0, ,9.0,8.09645,9.40482,467.0,1.0,POSTE DE SANTE DE YEZOU,1.0,2.0,,,,,1.0,3.0,8.09746,-9.4047,471.0
Nzérékoré  8,Macenta 84,5.0,5.0,8405.0,840505.0,6.0, ,4.0,7.99827,9.35573,479.0,1.0,POSTE DE SANTE DE ZINGOROZOU,1.0,2.0,,,,,1.0,5.0,7.99957,-9.3574,470.0
Nzérékoré  8,Macenta 84,4.0,3.0,8404.0,840403.0,3.0, ,12.0,8.45589,9.58698,575.0,1.0,Poste de Santé,1.0,2.0,,,,,1.0,5.0,8.45827,-9.58494,569.0
Nzérékoré  8,Macenta 84,4.0,1.0,8404.0,840401.0,3.0, ,13.0,8.49837,9.64085,568.0,1.0,Poste de santé de Badiaro,1.0,2.0,,,,,1.0,3.0,8.50031,-9.64119,574.0
Nzérékoré  8,Macenta 84,4.0,6.0,8404.0,840406.0,3.0, ,8.0,8.48056,9.54824,561.0,1.0,Poste de santé,1.0,2.0,,,,,1.0,4.0,8.48058,-9.54957,547.0
Nzérékoré  8,Macenta 84,4.0,9.0,8404.0,840409.0,3.0, ,6.0,8.53923,9.60335,566.0,1.0,Poste de santé de Kovélédou,1.0,2.0,,,,,1.0,5.0,8.53764,-9.60233,556.0
Nzérékoré  8,Macenta 84,4.0,10.0,8404.0,840410.0,6.0, ,18.0,8.50452,9.69554,560.0,1.0,Poste de santé,1.0,2.0,,,,,1.0,3.0,8.50686,-9.69329,582.0
Nzérékoré  8,Macenta 84,3.0,2.0,8403.0,840302.0,6.0, ,15.0,8.71417,9.64952,603.0,1.0,POSTE DE SANTE DE DOIZIA,1.0,2.0,,,,,1.0,,8.71417,-9.65026,640.0
Nzérékoré  8,Macenta 84,3.0,5.0,8403.0,840305.0,6.0, ,14.0,8.58695,9.77679,596.0,1.0,POSTE DE SANTE SOKOURALA,1.0,2.0,,,,,2.0,,8.59049,-9.78108,
Nzérékoré  8,Macenta 84,3.0,6.0,8403.0,840306.0,6.0, ,10.0,8.71649,9.7486,564.0,1.0,POSTE DE SANTE DE OZOLOLAZOU,1.0,2.0,,,,,1.0,,8.71445,-9.74739,564.0
Nzérékoré  8,Macenta 84,2.0,5.0,8402.0,840205.0,6.0, ,20.0,8.81827,9.62568,698.0,1.0,Poste de santé Kpavelegbaou,1.0,2.0,,,,1.0,,,8.81786,-9.62587,695.0
Nzérékoré  8,Macenta 84,1.0,1.0,8401.0,840101.0,2.0, ,,8.62059,9.5811,611.0,2.0,Poste de sante de Bakpaou,1.0,2.0,,,,,1.0,,8.57609,-9.58304,622.0
Nzérékoré  8,Macenta 84,1.0,9.0,8401.0,840109.0,6.0, ,18.0,8.58272,9.69863,638.0,1.0,Poste de santé Rouezou,1.0,2.0,,,,,1.0,,8.5815,-9.69595,614.0
Nzérékoré  8,Nzérékoré 85,11.0,1.0,8511.0,851101.0,9.0,Mano,11.0,7.77734,8.67919,478.0,1.0,Poste de santé de bangouéta,1.0,2.0,,,,,1.0,6.0,7.77626,-8.68188,464.0
Nzérékoré  8,Nzérékoré 85,11.0,2.0,8511.0,851102.0,5.0, ,29.0,7.83963,8.70398,494.0,1.0,Poste de santé de Galakpaye,1.0,2.0,,,,,1.0,5.0,7.84094,-8.7055,494.0
Nzérékoré  8,Nzérékoré 85,11.0,2.0,8511.0,851102.0,5.0, ,29.0,7.83963,8.70398,494.0,2.0,poste de santé de Nyalakpalé,1.0,2.0,,,,,,6.0,7.83634,-8.72658,511.0
Nzérékoré  8,Nzérékoré 85,11.0,3.0,8511.0,851103.0,5.0, ,22.0,7.78464,8.7374,495.0,1.0,Poste de santé de Gbottoye,1.0,2.0,,,1.0,,1.0,4.0,7.7849,-8.73827,494.0
Nzérékoré  8,Nzérékoré 85,11.0,5.0,8511.0,851105.0,5.0, ,17.0,7.80073,8.69832,518.0,1.0,poste de santé de Konia Aviation,1.0,2.0,,,,,1.0,,7.7987,-8.69774,512.0
Nzérékoré  8,Nzérékoré 85,11.0,6.0,8511.0,851106.0,9.0,Mano,17.0,7.73242,8.63759,468.0,1.0,Poste de santé de Lomou,1.0,2.0,,,,,1.0,6.0,7.74771,-8.62881,467.0
Nzérékoré  8,Nzérékoré 85,11.0,7.0,8511.0,851107.0,9.0,Mano,33.0,7.72099,8.60035,535.0,1.0,Poste de santé de loukelé,1.0,2.0,,,,,1.0,5.0,7.72181,-8.59684,529.0
Nzérékoré  8,Nzérékoré 85,11.0,9.0,8511.0,851109.0,9.0,Mano,14.0,7.78998,8.64228,465.0,1.0,Poste de santé de Moata,1.0,2.0,,,,,,2.0,7.78951,-8.64408,469.0
Nzérékoré  8,Nzérékoré 85,11.0,11.0,8511.0,851111.0,9.0,Mano,13.0,7.68028,8.73013,426.0,1.0,Poste de santé de toulemou,1.0,2.0,,,,,2.0,5.0,7.68299,-8.73105,469.0
Nzérékoré  8,Nzérékoré 85,10.0,1.0,8510.0,851001.0,5.0, ,10.0,8.10118,8.8288,477.0,1.0,Poste de santé de Bowé nord,1.0,2.0,,,,,1.0,2.0,8.10009,-8.8283,489.0
Nzérékoré  8,Nzérékoré 85,10.0,2.0,8510.0,851002.0,5.0, ,29.0,8.16342,8.67108,464.0,1.0,Poste de santé de Foozou,1.0,2.0,,,,,1.0,4.0,8.16286,-8.67077,466.0
Nzérékoré  8,Nzérékoré 85,10.0,3.0,8510.0,851003.0,5.0, ,21.0,8.12877,8.7297,455.0,1.0,poste de santé de Kabieta,1.0,2.0,,,,,1.0,1.0,8.12567,-8.73158,455.0
Nzérékoré  8,Nzérékoré 85,10.0,7.0,8510.0,851007.0,5.0, ,8.0,8.03889,8.82514,459.0,1.0,Poste de santé de Yomata,1.0,2.0,,,,,1.0,4.0,8.03968,-8.82306,467.0
Nzérékoré  8,Nzérékoré 85,9.0,1.0,8509.0,850901.0,5.0, ,4.0,7.93803,8.69683,492.0,1.0,Poste de santé de Gbono,1.0,2.0,,,,,1.0,6.0,7.94005,-8.6976,487.0
Nzérékoré  8,Nzérékoré 85,9.0,2.0,8509.0,850902.0,5.0, ,1.0,7.97778,8.70413,477.0,1.0,Poste de santé de Kola,1.0,2.0,,,,,,5.0,7.97826,-8.70313,478.0
Nzérékoré  8,Nzérékoré 85,9.0,3.0,8509.0,850903.0,5.0, ,25.0,8.03848,8.58245,556.0,1.0,poste de santé de kolakpata,1.0,2.0,,,,,1.0,6.0,8.03813,-8.58462,534.0
Nzérékoré  8,Nzérékoré 85,9.0,5.0,8509.0,850905.0,5.0, ,9.0,7.95624,8.62071,543.0,1.0,Poste de santé de Kpagalaye,1.0,2.0,,,,,1.0,6.0,7.95907,-8.62618,562.0
Nzérékoré  8,Nzérékoré 85,9.0,6.0,8509.0,850906.0,5.0, ,9.0,7.99673,8.61883,560.0,1.0,Poste de santé de Kpoulo,1.0,2.0,,,,,1.0,4.0,7.99569,-8.6213,557.0
Nzérékoré  8,Nzérékoré 85,9.0,7.0,8509.0,850907.0,5.0, ,9.0,7.9149,8.73172,481.0,1.0,Poste de santé de Souhoulé,1.0,2.0,,,,,1.0,7.0,7.90893,-8.73119,470.0
Nzérékoré  8,Nzérékoré 85,8.0,2.0,8508.0,850802.0,5.0, ,20.0,7.80691,8.76039,480.0,1.0,POSTE DE SANRE DE GBAYA,1.0,2.0,,,,,2.0,7.0,7.80967,-8.7579,494.0
Nzérékoré  8,Nzérékoré 85,8.0,4.0,8508.0,850804.0,5.0, ,8.0,7.82242,8.80973,499.0,1.0,POSTE DE SANTE DE KOMOU,1.0,2.0,,,,,1.0,6.0,7.82021,-8.81118,506.0
Nzérékoré  8,Nzérékoré 85,8.0,6.0,8508.0,850806.0,5.0, ,12.0,7.77314,8.96031,498.0,1.0,POSTE DE SANTE DE KOULE-SUD,1.0,2.0,,,,,1.0,3.0,7.77552,-8.95785,497.0
Nzérékoré  8,Nzérékoré 85,8.0,7.0,8508.0,850807.0,5.0, ,12.0,7.88335,8.88871,454.0,1.0,POSTE DE SANTE DE NIAMPARA,1.0,2.0,,,,,2.0,77.0,7.88478,-8.89077,455.0
Nzérékoré  8,Nzérékoré 85,8.0,8.0,8508.0,850808.0,5.0, ,22.0,7.86304,8.93354,452.0,1.0,POSTE DE SANTE DE BANGALY TRAORE DE NYEM,1.0,2.0,,,,,1.0,5.0,7.86289,-8.93292,454.0
Nzérékoré  8,Nzérékoré 85,7.0,2.0,8507.0,850702.0,5.0, ,8.0,8.07353,8.8997,520.0,1.0,Poste de santé de Keorah,1.0,2.0,,,,,1.0,2.0,8.07487,-8.90089,491.0
Nzérékoré  8,Nzérékoré 85,7.0,3.0,8507.0,850703.0,5.0, ,8.0,8.03649,8.95046,463.0,1.0,Poste de santé de Ouéyé,1.0,2.0,,,,,1.0,2.0,8.03683,-8.94836,466.0
Nzérékoré  8,Nzérékoré 85,6.0,9.0,8506.0,850609.0,5.0, ,,7.75527,8.83295,482.0,1.0,POSTE DE SANTE DE GONIA III,1.0,2.0,,,,1.0,2.0,2.0,7.75835,-8.83509,498.0
Nzérékoré  8,Nzérékoré 85,6.0,17.0,8506.0,850617.0,5.0, ,,7.76339,8.81931,490.0,1.0,POSTE DE SANTE DE NYEN II,1.0,2.0,,,,,4.0,1.0,7.76569,-8.82003,491.0
Nzérékoré  8,Nzérékoré 85,5.0,1.0,8505.0,850501.0,5.0, ,15.0,7.94464,8.9525,456.0,1.0,POSTE DE SANTE DE KEREMANDO,1.0,2.0,,,,,1.0,2.0,7.94439,-8.9541,470.0
Nzérékoré  8,Nzérékoré 85,5.0,2.0,8505.0,850502.0,5.0, ,12.0,8.07416,8.96823,476.0,1.0,POSTE DE SANTE DE KEREZAGAYE,1.0,2.0,,,,,1.0,2.0,8.07271,-8.96963,470.0
Nzérékoré  8,Nzérékoré 85,5.0,7.0,8505.0,850507.0,5.0, ,15.0,8.10889,8.97209,410.0,1.0,POSTE DE SANTE DE PAMPARA,1.0,2.0,,,,,1.0,2.0,8.10599,-8.97306,485.0
Nzérékoré  8,Nzérékoré 85,4.0,1.0,8504.0,850401.0,5.0, ,25.0,8.15322,8.81996,489.0,1.0,Poste de santé de Boma nord,1.0,2.0,,,,,1.0,2.0,8.15032,-8.8216,480.0
Nzérékoré  8,Nzérékoré 85,4.0,2.0,8504.0,850402.0,5.0, ,18.0,8.23337,8.75512,684.0,1.0,Poste de santé de Mazana,1.0,2.0,,,,,1.0,2.0,8.25912,-8.73234,672.0
Nzérékoré  8,Nzérékoré 85,4.0,5.0,8504.0,850405.0,5.0, ,15.0,8.12771,8.93752,491.0,1.0,Poste de santé de Koroh,1.0,2.0,,,,,1.0,2.0,8.12723,-8.93817,493.0
Nzérékoré  8,Nzérékoré 85,4.0,7.0,8504.0,850407.0,5.0, ,12.0,8.23615,8.81577,549.0,1.0,Poste de santé de Lömou,1.0,2.0,,,,,,3.0,8.23719,-8.81723,555.0
Nzérékoré  8,Nzérékoré 85,4.0,8.0,8504.0,850408.0,5.0, ,5.0,8.19774,8.91352,553.0,1.0,Poste de santé de Makpozou,1.0,2.0,,,,,1.0,2.0,8.19607,-8.91463,541.0
Nzérékoré  8,Nzérékoré 85,4.0,9.0,8504.0,850409.0,5.0, ,20.0,8.10797,8.85965,473.0,1.0,Poste de santé de Gbana,1.0,2.0,,,,,1.0,2.0,8.13861,-8.84216,492.0
Nzérékoré  8,Nzérékoré 85,4.0,9.0,8504.0,850409.0,5.0, ,20.0,8.10797,8.85965,473.0,2.0,Poste de santé de Nyèma nord,1.0,2.0,,,,,1.0,2.0,8.1087,-8.85873,479.0
Nzérékoré  8,Nzérékoré 85,3.0,4.0,8503.0,850304.0,5.0, ,18.0,7.9382,9.0813,471.0,1.0,Poste de santé de Maouon,1.0,2.0,,,,,1.0,5.0,7.93942,-9.07998,476.0
Nzérékoré  8,Nzérékoré 85,3.0,5.0,8503.0,850305.0,5.0, ,6.0,7.91022,8.98973,447.0,1.0,Poste de santé de Nienh,1.0,2.0,,,,,1.0,4.0,7.91202,-8.98676,453.0
Nzérékoré  8,Nzérékoré 85,3.0,6.0,8503.0,850306.0,5.0, ,14.0,7.92872,9.13165,476.0,1.0,Poste de santé de Zogota,1.0,2.0,,,,,1.0,5.0,7.92605,-9.12964,479.0
Nzérékoré  8,Nzérékoré 85,2.0,1.0,8502.0,850201.0,5.0, ,6.0,7.99489,8.75621,459.0,1.0,POSTE DE SANTE DE BANGOU-NORD,1.0,2.0,,,,,1.0,7.0,7.99456,-8.75662,459.0
Nzérékoré  8,Nzérékoré 85,2.0,7.0,8502.0,850207.0,5.0, ,16.0,7.94253,8.80256,441.0,1.0,POSTE DE SANTE DE NONA,1.0,2.0,,,,,1.0,5.0,7.94392,-8.80201,462.0
Nzérékoré  8,Nzérékoré 85,1.0,2.0,8501.0,850102.0,9.0, ,34.0,7.43443,8.79709,397.0,1.0,POSTE DE SANTE DE DOURAPA,1.0,2.0,,,,,,1.0,7.43795,-8.79759,398.0
Nzérékoré  8,Nzérékoré 85,1.0,7.0,8501.0,850107.0,5.0, ,22.0,7.71361,8.90498,474.0,1.0,POSTE DE SANTE DE KEREMA I,1.0,2.0,,,,1.0,1.0,16.0,7.71401,-8.90324,476.0
Nzérékoré  8,Yomou 86,7.0,3.0,8607.0,860703.0,5.0, ,9.0,7.66712,9.26032,420.0,1.0,Poste de Santé Gbokomeye,1.0,2.0,,,,,1.0,4.0,7.66679,-9.26114,417.0
Nzérékoré  8,Yomou 86,7.0,6.0,8607.0,860706.0,5.0, ,11.0,7.66595,9.29205,420.0,1.0,Poste de Santé de Komou,1.0,2.0,,,,,1.0,1.0,7.66967,-9.29206,408.0
Nzérékoré  8,Yomou 86,7.0,7.0,8607.0,860707.0,5.0, ,17.0,7.6393,9.22882,409.0,1.0,Poste de sante de Kpaolé,1.0,2.0,,,,,1.0,4.0,7.64098,-9.23034,398.0
Nzérékoré  8,Yomou 86,6.0,1.0,8606.0,860601.0,5.0, ,7.0,7.66506,9.08366,426.0,1.0,Poste de santé de Béregna,1.0,2.0,,,,,1.0,6.0,7.66558,-9.08262,433.0
Nzérékoré  8,Yomou 86,6.0,2.0,8606.0,860602.0,5.0, ,7.0,7.65495,9.15652,415.0,1.0,Poste de santé de Galaye,1.0,2.0,,,,,1.0,3.0,7.65428,-9.15785,404.0
Nzérékoré  8,Yomou 86,6.0,4.0,8606.0,860604.0,5.0, ,22.0,7.71491,8.99921,481.0,1.0,Poste de santé de Oueta,1.0,2.0,,,,,1.0,13.0,7.71393,-8.99822,468.0
Nzérékoré  8,Yomou 86,6.0,7.0,8606.0,860607.0,5.0, ,13.0,7.63802,9.18767,401.0,1.0,Poste de santé Yilata,1.0,2.0,,,,,1.0,,7.6374,-9.18725,405.0
Nzérékoré  8,Yomou 86,5.0,10.0,8605.0,860510.0,5.0, ,15.0,7.45304,9.2257,308.0,1.0,POSTE DE SANTE DE SAORO,1.0,2.0,,,,,1.0,1.0,7.45075,-9.2446,308.0
Nzérékoré  8,Yomou 86,5.0,11.0,8605.0,860511.0,9.0, ,18.0,7.25549,9.05671,298.0,1.0,POSTE DE SANTE DE SOOPA,1.0,2.0,,,,,1.0,4.0,7.25629,-9.05769,291.0
Nzérékoré  8,Yomou 86,5.0,1.0,8605.0,860501.0,9.0, ,7.0,7.29684,8.98792,303.0,1.0,POSTE DE SANTE,1.0,2.0,,,,,1.0,1.0,7.2951,-8.98983,297.0
Nzérékoré  8,Yomou 86,5.0,9.0,8605.0,860509.0,9.0, ,20.0,7.28121,8.87984,291.0,1.0,POSTE DE SANTE DE NAAPA,1.0,2.0,,,,,,4.0,7.28308,-8.88063,290.0
Nzérékoré  8,Yomou 86,4.0,1.0,8604.0,860401.0,5.0, ,5.0,7.74687,9.14653,410.0,1.0,Poste de sante de Ballo,1.0,2.0,,,,,1.0,4.0,7.74704,-9.14529,414.0
Nzérékoré  8,Yomou 86,4.0,2.0,8604.0,860402.0,5.0, ,18.0,7.71531,9.26826,416.0,1.0,Poste de sante de bamakama,1.0,2.0,,,,,,3.0,7.71335,-9.02675,431.0
Nzérékoré  8,Yomou 86,4.0,5.0,8604.0,860405.0,5.0, ,13.0,7.7878,9.09987,408.0,1.0,Poste de sante de lonkondia,1.0,2.0,,,,,1.0,4.0,7.78849,-9.10108,405.0
Nzérékoré  8,Yomou 86,4.0,9.0,8604.0,860409.0,5.0, ,12.0,7.84866,9.10642,448.0,1.0,Poste de sante de Ouro II,1.0,2.0,,,,,1.0,7.0,7.85288,-9.10901,453.0
Nzérékoré  8,Yomou 86,4.0,7.0,8604.0,860407.0,5.0, ,9.0,7.72868,9.21018,399.0,1.0,Poste de sante de Ouéya,1.0,2.0,,,,,1.0,6.0,7.72874,-9.21114,398.0
Nzérékoré  8,Yomou 86,4.0,10.0,8604.0,860410.0,5.0, ,9.0,7.76547,9.26901,432.0,1.0,Poste de sante de Yalakpalé,1.0,2.0,,,,,2.0,5.0,7.76293,-9.26859,430.0
Nzérékoré  8,Yomou 86,3.0,4.0,8603.0,860304.0,5.0, ,9.0,7.34846,9.1507,276.0,1.0,Poste de Santé Galakpaye,1.0,2.0,,,,,1.0,6.0,7.35067,-9.14904,293.0
Nzérékoré  8,Yomou 86,3.0,5.0,8603.0,860305.0,5.0, ,22.0,7.4671,9.06158,308.0,1.0,Poste de Santé de Gbamou,1.0,2.0,,,,,1.0,3.0,7.46545,-9.05983,308.0
Nzérékoré  8,Yomou 86,3.0,5.0,8603.0,860305.0,5.0, ,22.0,7.4671,9.06158,308.0,2.0,Poste de Santé de Pamporé,1.0,2.0,,,,,1.0,3.0,7.44868,-9.10317,305.0
Nzérékoré  8,Yomou 86,3.0,6.0,8603.0,860306.0,5.0, ,3.0,7.35729,9.05055,302.0,1.0,Poste de Santé de Kpoo,1.0,2.0,,,,,1.0,6.0,7.35934,-9.04659,308.0
Nzérékoré  8,Yomou 86,3.0,7.0,8603.0,860307.0,5.0, ,6.0,7.38248,9.07214,292.0,1.0,Poste de Santé de Nawei Cité,1.0,2.0,,,,,2.0,1.0,7.3864,-9.08793,295.0
Nzérékoré  8,Yomou 86,2.0,3.0,8602.0,860203.0,5.0, ,7.0,7.44045,9.24136,420.0,1.0,Poste de sante de kpaolé,1.0,2.0,,,,,1.0,5.0,7.43857,-9.24178,419.0
Nzérékoré  8,Yomou 86,2.0,4.0,8602.0,860204.0,5.0, ,5.0,7.39406,9.21693,434.0,1.0,Poste de sante de Lagbara,1.0,2.0,,,,,1.0,,7.3915,-9.21868,434.0
Nzérékoré  8,Yomou 86,1.0,4.0,8601.0,860104.0,5.0, ,18.0,7.61877,9.32303,394.0,1.0,Poste de sante de Gottoye,1.0,2.0,,,,,1.0,6.0,7.61965,-9.32263,394.0
Nzérékoré  8,Yomou 86,1.0,5.0,8601.0,860105.0,5.0, ,30.0,7.4867,9.28589,401.0,1.0,Poste de sante de Kolié,1.0,2.0,,,,,1.0,4.0,7.49058,-9.28592,377.0
Nzérékoré  8,Yomou 86,1.0,7.0,8601.0,860107.0,5.0, ,16.0,7.44532,9.38679,358.0,1.0,Poste de sante Yowa,1.0,2.0,,,,,,5.0,7.4458,-9.38481,336.0
Mamou 7,Dalaba 71,9.0,2.0,7109.0,710902.0,2.0, ,5.0,10.83477,12.33937,963.0,1.0,Poste de Santé de Djiguiwel,1.0,2.0,,,,,1.0,,10.85575,-12.3394,921.0
Mamou 7,71.0,9.0,9.0,7109.0,710909.0,2.0, ,6.0,10.7628,12.27997,1117.0,1.0,Poste de sante Sebhory,1.0,2.0,,,,,1.0,1.0,10.76005,-12.27776,1014.0
Mamou 7,71.0,9.0,8.0,7109.0,710908.0,2.0, ,12.0,10.74536,12.35391,910.0,1.0,Poste de santé Petty,1.0,2.0,,,,,1.0,,10.7473,-12.35438,912.0
Mamou 7,71.0,9.0,4.0,7109.0,710904.0,2.0, ,15.0,10.90661,12.35909,955.0,1.0,Poste de santé Hamagbère,1.0,2.0,,,1.0,,,1.0,10.90291,-12.35482,958.0
Mamou 7,71.0,9.0,1.0,7109.0,710901.0,2.0, ,26.0,10.91151,12.29557,732.0,1.0,Poste de santé Bindi centre,1.0,2.0,,,1.0,,,2.0,10.90969,-12.29585,745.0
Mamou 7,71.0,9.0,5.0,7109.0,710905.0,2.0, ,5.0,10.84309,12.29688,1013.0,1.0,Poste de Santé,1.0,2.0,,,,,1.0,1.0,10.8393,-12.29619,995.0
Mamou 7,71.0,9.0,3.0,7109.0,710903.0,2.0, ,19.0,10.88217,12.30797,989.0,1.0,Poste de santé de Djangolo centre,1.0,2.0,,,,,1.0,,10.87838,-12.30803,959.0
Mamou 7,71.0,8.0,5.0,7108.0,710805.0,3.0, ,14.0,10.85917,12.04251,761.0,1.0,Poste de Santé de Kourou,1.0,2.0,,,1.0,,,,10.87529,-12.05437,693.0
Mamou 7,71.0,7.0,4.0,7107.0,710704.0,2.0, ,10.0,10.59593,12.27384,1105.0,1.0,POSTE DE SANTE KESSEMA,1.0,2.0,4.0,,,,1.0,,10.57975,-12.29744,948.0
Mamou 7,71.0,7.0,8.0,7107.0,710708.0,2.0, ,12.0,10.67436,12.34586,890.0,1.0,POSTE DE SANTE DE THIORMBI,1.0,2.0,,,,,1.0,,10.68663,-12.36791,888.0
Mamou 7,71.0,7.0,9.0,7107.0,710709.0,2.0, ,22.0,10.72155,12.40147,712.0,1.0,POSTE DE SANTE DE LOOPE,1.0,2.0,,,,,1.0,,10.71947,-12.39738,775.0
Mamou 7,71.0,6.0,1.0,7106.0,710601.0,2.0, ,33.0,11.10216,12.21096,1057.0,1.0,POSTEDE SANTE DE BANGA CENTRE,1.0,2.0,,,,,1.0,1.0,11.10379,-12.21308,1049.0
Mamou 7,71.0,5.0,2.0,7105.0,710502.0,2.0, ,12.0,11.12497,12.11074,905.0,1.0,POSTE DE SANTE TELIWAL,1.0,2.0,,,,,1.0,,11.124,-12.12199,875.0
Mamou 7,71.0,5.0,7.0,7105.0,710507.0,2.0, ,9.0,11.12042,12.06173,759.0,1.0,POSTE DE SANTE,1.0,2.0,2.0,,1.0,,,,11.1211,-12.0617,746.0
Mamou 7,71.0,4.0,6.0,7104.0,710406.0,2.0, ,8.0,10.78455,12.25585,1175.0,1.0,POSTE DE SANTE,1.0,2.0,,,1.0,,,,10.77758,-12.25998,1101.0
Mamou 7,71.0,3.0,5.0,7103.0,710305.0,3.0, ,14.0,10.85917,12.04251,761.0,1.0,Poste de Santé de Kourou,1.0,2.0,,,1.0,,,,10.87529,-12.05437,693.0
Mamou 7,71.0,2.0,5.0,7102.0,710205.0,2.0, ,8.0,10.70186,12.30593,1006.0,1.0,POSTE DE SANTE KAMAKOU MIMIDE,1.0,2.0,,,,,1.0,,10.71226,-12.34389,955.0
Mamou 7,71.0,2.0,2.0,7102.0,710202.0,2.0, ,7.0,10.73354,12.23596,1139.0,1.0,POSTE DE SANTE DE DALABA MISSIDE,1.0,2.0,,,,,1.0,,10.73341,-12.2389,1157.0
Mamou 7,71.0,1.0,5.0,7101.0,710105.0,2.0, ,6.0,11.01141,12.09663,698.0,1.0,Poste de santé de M'bouro,1.0,2.0,,,1.0,,,,11.00492,-12.09384,698.0
Mamou 7,71.0,1.0,5.0,7101.0,710105.0,2.0, ,6.0,11.01141,12.09663,698.0,2.0,Poste de Santé de Yalè,1.0,2.0,,,,,1.0,,10.98995,-12.14955,688.0
Mamou 7,71.0,1.0,1.0,7101.0,710101.0,2.0, ,,11.03046,12.05244,698.0,2.0,Poste de Santé,1.0,2.0,,,1.0,,,2.0,11.04159,-12.04495,711.0
Mamou 7,71.0,1.0,4.0,7101.0,710104.0,2.0, ,6.0,11.03299,12.01242,705.0,1.0,Poste de santé,1.0,2.0,,,,,1.0,1.0,11.0346,-12.00725,706.0
Mamou 7,71.0,10.0,4.0,7110.0,711004.0,2.0, ,7.0,11.207,12.12508,754.0,1.0,POSTE DE SANTE GALY,1.0,2.0,,,,,1.0,,11.2086,-12.11952,749.0
Mamou 7,71.0,10.0,5.0,7110.0,711005.0,2.0, ,6.0,11.22093,12.01967,714.0,1.0,POSTE DE SANTE GNEKEMA,1.0,2.0,,,,1.0,,,11.21964,-12.0191,687.0
Mamou 7,71.0,10.0,7.0,7110.0,711007.0,2.0, ,8.0,11.16499,12.1271,889.0,1.0,POSTE DE SANTE KENENE,1.0,2.0,,,1.0,,,,11.16344,-12.12982,888.0
