Nom de l'établissement,P-code de l'établissement,Nom de la sous-préfecture,P-code de la sous-préfecture,Nom de la préfecture,P-code de la préfecture,Nom de la région,P-code de la région,Public ou privé?,Latitude,Longitude
Centre de Santé Molota,,Molota,GIN00500408,Kindia,GIN005004,Kindia,GIN005,public,,
Centre de Santé Moussayah,,Moussayah,GIN00500309,Forecariah,GIN005003,Kindia,GIN005,public,,
Centre de Santé Ninguélandé,,Timbi Madina,GIN00700311,Pita,GIN007003,Mamou,GIN007,public,,
Centre De Santé Nongo,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
Centre de Santé Nongoa,,Nongoa,GIN00800207,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Centre de Santé NZ Commercial,,Nzerekore Ctre,GIN00800506,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Centre de Santé NZ Dorota,,Nzerekore Ctre,GIN00800506,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Centre de Santé NZ Gonian,,Nzerekore Ctre,GIN00800506,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Centre de Santé NZ Horoya,,Nzerekore Ctre,GIN00800506,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Centre de Santé NZ Mohomou,,Nzerekore Ctre,GIN00800506,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Centre de Santé Nzebela,,Nzebela,GIN00800409,Macenta,GIN008004,Nzerekore,GIN008,public,,
Centre de Santé Ouende Kènèma,,Ouende Kenema,GIN00800208,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Centre de Santé Ouremai,,Ouremai,GIN00800410,Macenta,GIN008004,Nzerekore,GIN008,public,,
Centre de Santé Panziazou,,Panziazou,GIN00800411,Macenta,GIN008004,Nzerekore,GIN008,public,,
Centre de Santé Péla 1,,Pela,GIN00800606,Yomou,GIN008006,Nzerekore,GIN008,public,,
Centre de Santé Pita,,Pita Ctre,GIN00700308,Pita,GIN007003,Mamou,GIN007,public,,
"Centre de Santé Popodara, Hamdallaye",,Popodara,GIN00600211,Labe,GIN006002,Labe,GIN006,public,,
Centre de santé Port,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,public,,
"Centre de Santé Quartier Bowa, Mac.",,Macenta Ctre,GIN00800408,Macenta,GIN008004,Nzerekore,GIN008,public,,
Centre de Santé Samaya,,Samaya,GIN00500409,Kindia,GIN005004,Kindia,GIN005,public,,
Centre de Santé Samayah,,Tanene,GIN00500208,Dubreka,GIN005002,Kindia,GIN005,public,,
Centre de Santé Samoy,,Samoe,GIN00800508,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Centre de Santé Sangaréyah,,Sangareah,GIN00700309,Pita,GIN007003,Mamou,GIN007,public,,
Centre de Santé Sengbedou,,Sengbedou,GIN00800412,Macenta,GIN008004,Nzerekore,GIN008,public,,
Centre de Santé Sérè,,Mamou Ctre,GIN00700206,Mamou,GIN007002,Mamou,GIN007,public,,
Centre de Santé Seredou,,Seredou,GIN00800413,Macenta,GIN008004,Nzerekore,GIN008,public,,
Centre de Santé Sikhourou,,Sikhourou,GIN00500310,Forecariah,GIN005003,Kindia,GIN005,public,,
Centre De Santé Simbaya,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
Centre de Santé Simbaya Gare,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
Centre de Santé Sintaly,,Pita Ctre,GIN00700308,Pita,GIN007003,Mamou,GIN007,public,,
Centre De Santé Soloprimo,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
Centre de Santé Sonfonia,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
Centre de Santé Souguéta,,Sougueta,GIN00500410,Kindia,GIN005004,Kindia,GIN005,public,,
Centre de Santé Soulouta,,Soulouta,GIN00800509,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Centre De Santé Tamouta,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
Centre de Santé Tanéné,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,public,,
Centre de Santé Tanènè,,Tanene,GIN00500208,Dubreka,GIN005002,Kindia,GIN005,public,,
Centre de Santé Tékoulo,,Tekoulo,GIN00800209,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Centre de Santé Téliméle Centre,,Telemele Ctre,GIN00500513,Telimele,GIN005005,Kindia,GIN005,public,,
Centre de Santé Tèmessadou,,Termassadou,GIN00800210,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Centre de Santé Timbi - Madina,,Timbi Madina,GIN00700311,Pita,GIN007003,Mamou,GIN007,public,,
Centre de Santé Timbi-Touny,,Timbi Touni,GIN00700312,Pita,GIN007003,Mamou,GIN007,public,,
Centre de Santé Tondon,,Tondon,GIN00500207,Dubreka,GIN005002,Kindia,GIN005,public,,
Centre de Santé Vasérédou,,Vasseredou,GIN00800414,Macenta,GIN008004,Nzerekore,GIN008,public,,
Centre de Santé Wanindara,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
Centre de Santé Wassaya/Banfele,,Banfele,GIN00400303,Kouroussa,GIN004003,Kankan,GIN004,public,,
Centre de Santé Wassou (Ouassou),,Ouassou,GIN00500205,Dubreka,GIN005002,Kindia,GIN005,public,,
Centre de Santé Watanka,,Watanka,GIN00800415,Macenta,GIN008004,Nzerekore,GIN008,public,,
Centre de Santé Womey,,Womey,GIN00800510,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Centre de Santé Wonkifong,,Wonkifong,GIN00500104,Coyah,GIN005001,Kindia,GIN005,public,,
Centre de Santé Yalenzou,,Yalenzou,GIN00800511,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Centre De Santé Yembeyia,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
Centre de Santé Yimbaya Ecole,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,public,,
Centre de Santé Yomou,,Yomou Ctre,GIN00800607,Yomou,GIN008006,Nzerekore,GIN008,public,,
Centre Hospitalier,,Koundara Ctre,GIN00100403,Koundara,GIN001004,Boke,GIN001,public,,
Centre Med les Chérubins,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Centre médical Amel,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,prive,,
Centre Medical Communal Gueckedou MSF,,Gueckedou Ctre,GIN00800203,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Centre médical Dr LY,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Centre Médical du Stade,,Dixinn,GIN00200101,Conakry,GIN002001,Conakry,GIN002,prive,,
Centre Médical International,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,prive,,
"Centre Medical International/ American Hospital/ American International University, School of Medicine",,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,public,,
Centre médical Jean Fritz Foster AAMG,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Centre médical Marc Gentilini,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,prive,,
Centre médical Mdou Saliou DIALLO,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Centre médical NICOLAEV,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,prive,,
Centre médical ONG AGUIDIE,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Centre Medical Philatricaine,,Macenta Ctre,GIN00800408,Macenta,GIN008004,Nzerekore,GIN008,public,,
Centre Medico Communal Bernard Kouchner,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,public,,
Centre National de Transfusion de Sang,,Dixinn,GIN00200101,Conakry,GIN002001,Conakry,GIN002,public,,
Centre neuro-médical ONG BIVEP,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,prive,,
Centre PMI,,Kindia Ctre,GIN00500404,Kindia,GIN005004,Kindia,GIN005,public,,
Centre Recherche Fodé S,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,public,,
Centre Sante,,Bodie,GIN00700101,Dalaba,GIN007001,Mamou,GIN007,public,,
Centre Santé Diarraguéréla,,Diaraguerela,GIN00800103,Beyla,GIN008001,Nzerekore,GIN008,public,,
Ciba,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,public,,
CIMED,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
Cissela Centre,,Cissela,GIN00400305,Kouroussa,GIN004003,Kankan,GIN004,public,,
Cité,,Maneah,GIN00500103,Coyah,GIN005001,Kindia,GIN005,public,,
Cité Administrative - Beyla Centre de Santé,,Beyla Ctre,GIN00800101,Beyla,GIN008001,Nzerekore,GIN008,public,,
CLINICAL LAB MED,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
Clinique AGBEF,,Kissidougou Ctre,GIN00300408,Kissidougou,GIN003004,Faranah,GIN003,public,,
Clinique Ambroise Paré,,Dixinn,GIN00200101,Conakry,GIN002001,Conakry,GIN002,public,,
Clinique AMSO,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,prive,,
Clinique de Gbessia,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,prive,,
Clinique Gynéco obstétrique MORO,,Morodou,GIN00400409,Mandiana,GIN004004,Kankan,GIN004,public,,
Clinique Hamdallaye,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Clinique Internationale bel'air (Ciba),,Matam,GIN00200103,Conakry,GIN002001,Conakry,GIN002,public,,
Clinique Les 7,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Clinique Maawah de Sans fil Kaloum,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,public,,
Clinique Medical de Gbessia,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,public,,
Clinique Médicale De Gbéssia - Centre Médical Internationale,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,public,,
Clinique Mère et Enfant,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
Clinique Mère Et Enfants,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
Clinique Neurologique,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,public,,
Clinique ophtalmologique Batimée-Anastasis-,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Clinique Pasteur,,Dixinn,GIN00200101,Conakry,GIN002001,Conakry,GIN002,public,,
Clinique Pasteur,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,prive,,
Clinique Privé,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,public,,
Clinique Wann,,Mamou Ctre,GIN00700206,Mamou,GIN007002,Mamou,GIN007,prive,,
CMC Coléah,,Matam,GIN00200103,Conakry,GIN002001,Conakry,GIN002,public,,
CMC Flamboyant,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
CMC Kondéya,,Soromaya,GIN00400208,Kerouane,GIN004002,Kankan,GIN004,public,,
CMC Matam,,Matam,GIN00200103,Conakry,GIN002001,Conakry,GIN002,public,,
CMC Minière,,Dixinn,GIN00200101,Conakry,GIN002001,Conakry,GIN002,public,,
CMC Ouénde-Kènèma,,Ouende Kenema,GIN00800208,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
CMC Ratoma,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
CMC Sinko,,Beyla Ctre,GIN00800101,Beyla,GIN008001,Nzerekore,GIN008,public,,
Cmed Balkan,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Cmed Dr Chérif,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Colia,,Kolia,GIN00100104,Boffa,GIN001001,Boke,GIN001,public,,
Communautaire,,Fassankoni,GIN00800405,Macenta,GIN008004,Nzerekore,GIN008,public,,
Communautaire,,Koundou,GIN00800206,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Communautaire Dondano,,Kouankan,GIN00800406,Macenta,GIN008004,Nzerekore,GIN008,public,,
Corrérah Centre,,Tamita,GIN00100107,Boffa,GIN001001,Boke,GIN001,public,,
CS Anastasis Nongo,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
CS Ass Kinésithérapie,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,prive,,
CS Ass Kissosso,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,prive,,
CS Assemblée de Dieu,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
CS Associatif Benay Fotoba,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
CS Associatif Ste Thérèse,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
CS Bethel,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,prive,,
CS Emmanuel,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
CS Fotoba -Solidarité pour la santé-,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,prive,,
CS Isle Kito,,,,Boffa,GIN001001,Boke,GIN001,public,,
CS Jean Oury,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
CS Kalima de Madina,,Matam,GIN00200103,Conakry,GIN002001,Conakry,GIN002,prive,,
CS Kassopo,,Kamsar,GIN00100204,Boke,GIN001002,Boke,GIN001,public,,
CS La compassion,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
CS Moriady (Sabouyah),,Friguiagbe,GIN00500403,Kindia,GIN005004,Kindia,GIN005,public,,
CS Room -Solidarité pour la santé-,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,prive,,
CS Sabèndè,,Fria Ctre,GIN00100503,Fria,GIN001005,Boke,GIN001,public,,
CS Toussaint,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,prive,,
CS Urbain et Ruraux,,,,Dabola,GIN003001,Faranah,GIN003,public,,
"CS urbains et privés,  confessionnels",,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,public,,
CS Yataya,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Dabadou,,Beyla Ctre,GIN00800101,Beyla,GIN008001,Nzerekore,GIN008,public,,
Dabanku,,Kolaboui,GIN00100206,Boke,GIN001002,Boke,GIN001,public,,
Dabiss,,Dabiss,GIN00100203,Boke,GIN001002,Boke,GIN001,public,,
Dabola,,Dabola Ctre,GIN00300104,Dabola,GIN003001,Faranah,GIN003,public,,
Dabola-Bérété,,Dogomet,GIN00300105,Dabola,GIN003001,Faranah,GIN003,public,,
Dabola-Centre,,Dabola Ctre,GIN00300104,Dabola,GIN003001,Faranah,GIN003,public,,
Dadiya,,Kindia Ctre,GIN00500404,Kindia,GIN005004,Kindia,GIN005,public,,
Daffira,,Sikhourou,GIN00500310,Forecariah,GIN005003,Kindia,GIN005,public,,
Dakhagbé,,Benty,GIN00500302,Forecariah,GIN005003,Kindia,GIN005,public,,
Dalamban,,Doko,GIN00400502,Siguiri,GIN004005,Kankan,GIN004,public,,
Dalein Centre de Santé,,Dalein,GIN00600201,Labe,GIN006002,Labe,GIN006,public,,
Daly,,Madina Wora,GIN00600408,Mali,GIN006004,Labe,GIN006,public,,
Damaro Centre de Santé,,Damaro,GIN00400202,Kerouane,GIN004002,Kankan,GIN004,public,,
Dambantchian Centre,,Tanene,GIN00100210,Boke,GIN001002,Boke,GIN001,public,,
Dandano,,Kouankan,GIN00800406,Macenta,GIN008004,Nzerekore,GIN008,public,,
Dandou,,Firawa,GIN00300406,Kissidougou,GIN003004,Faranah,GIN003,public,,
Dangbèssou,,Gueasso,GIN00800304,Lola,GIN008003,Nzerekore,GIN008,public,,
Dantilia,,Heremakono,GIN00300305,Faranah,GIN003003,Faranah,GIN003,public,,
Dantinia,,Malea,GIN00400506,Siguiri,GIN004005,Kankan,GIN004,public,,
Dar -ES - Salam,,Madina Oula,GIN00500406,Kindia,GIN005004,Kindia,GIN005,public,,
Dar Es Salam,,Telire,GIN00600411,Mali,GIN006004,Labe,GIN006,public,,
Dar-Es Salam,,Dalaba Ctre,GIN00700102,Dalaba,GIN007001,Mamou,GIN007,public,,
Dar-Es-Salam - 1,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,public,,
Dara,,Salambande,GIN00600410,Mali,GIN006004,Labe,GIN006,public,,
Dara Centre,,Daramagnaky,GIN00500502,Telimele,GIN005005,Kindia,GIN005,public,,
Dara-Pelli,,Pilimini,GIN00600106,Koubia,GIN006001,Labe,GIN006,public,,
Darakehioun,,Daralabe,GIN00600202,Labe,GIN006002,Labe,GIN006,public,,
Daralabé Centre de Santé,,Daralabe,GIN00600202,Labe,GIN006002,Labe,GIN006,public,,
Darou,,Maci,GIN00700306,Pita,GIN007003,Mamou,GIN007,public,,
Dede Horè Sitty,,Fafaya,GIN00600101,Koubia,GIN006001,Labe,GIN006,public,,
Dèmou Yahah,,Gayah,GIN00600405,Mali,GIN006004,Labe,GIN006,public,,
Denguédou,,Ouende Kenema,GIN00800208,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Dhakadi,,Fougou,GIN00600404,Mali,GIN006004,Labe,GIN006,public,,
Diaga,,Timbi Touni,GIN00700312,Pita,GIN007003,Mamou,GIN007,public,,
Diakoro,,Beyla Ctre,GIN00800101,Beyla,GIN008001,Nzerekore,GIN008,public,,
Dialakoro Centre de Santé,,Dialokoro,GIN00400402,Mandiana,GIN004004,Kankan,GIN004,,,
Diamodou,,Gbakedou,GIN00800106,Beyla,GIN008001,Nzerekore,GIN008,public,,
Diamona,,Sabadou Baranama,GIN00400111,Kankan,GIN004001,Kankan,GIN004,public,,
Dianfou,,Kindia Ctre,GIN00500404,Kindia,GIN005004,Kindia,GIN005,public,,
Diankana,,Karifamoriah,GIN00400106,Kankan,GIN004001,Kankan,GIN004,public,,
Diarakourou,,Faralako,GIN00400403,Mandiana,GIN004004,Kankan,GIN004,public,,
Diari Centre de Santé,,Diari,GIN00600203,Labe,GIN006002,Labe,GIN006,public,,
Diassodou Centre,,Diassodou,GIN00800104,Beyla,GIN008001,Nzerekore,GIN008,public,,
Diatéa,,Malea,GIN00400506,Siguiri,GIN004005,Kankan,GIN004,public,,
Diatifèrè Centre,,Diatifere,GIN00300203,Dinguiraye,GIN003002,Faranah,GIN003,public,,
Diawoya,,Noussy,GIN00600210,Labe,GIN006002,Labe,GIN006,public,,
Dibia,,Boke Ctre,GIN00100202,Boke,GIN001002,Boke,GIN001,public,,
Didi,,Kintinian,GIN00400505,Siguiri,GIN004005,Kankan,GIN004,public,,
Didita,,Laine,GIN00800306,Lola,GIN008003,Nzerekore,GIN008,public,,
Dindeya,,Dounet,GIN00700202,Mamou,GIN007002,Mamou,GIN007,public,,
Dinguiraye-Centre,,Dinguiraye Ctre,GIN00300204,Dinguiraye,GIN003002,Faranah,GIN003,public,,
Diogoma,,Sannou,GIN00600212,Labe,GIN006002,Labe,GIN006,public,,
Diomandou,,Daro,GIN00800404,Macenta,GIN008004,Nzerekore,GIN008,public,,
Dionfo Centre de Santé,,Dionfo,GIN00600204,Labe,GIN006002,Labe,GIN006,public,,
Diougouma,,Kolia,GIN00100104,Boffa,GIN001001,Boke,GIN001,public,,
Diountou Centre de Santé,,Diontou,GIN00600302,Lelouma,GIN006003,Labe,GIN006,public,,
Dispensaire Al Amal,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Dispensaire CBG,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Dispensaire CBK Simbaya,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Dispensaire chinois,,Dixinn,GIN00200101,Conakry,GIN002001,Conakry,GIN002,prive,,
Dispensaire Le bon Samaritain; Option universelle,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Dispensaire libanais,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,prive,,
Dispensaire Maternité,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
Dispensaire Saint Gabriel,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,public,,
Djelibakoro,,Bate Nafadji,GIN00400102,Kankan,GIN004001,Kankan,GIN004,public,,
Djiffa Centre,,Gbessoba,GIN00800107,Beyla,GIN008001,Nzerekore,GIN008,public,,
Djiguiti,,Tanene,GIN00100210,Boke,GIN001002,Boke,GIN001,public,,
Djilimgbè,,Kinieran,GIN00400405,Mandiana,GIN004004,Kankan,GIN004,public,,
Djimbala,,Missamana,GIN00400109,Kankan,GIN004001,Kankan,GIN004,public,,
Djindjima,,Bourouwal,GIN00500501,Telimele,GIN005005,Kindia,GIN005,public,,
Djissouma,,Gougoudje,GIN00500503,Telimele,GIN005005,Kindia,GIN005,public,,
Dogomet,,Dogomet,GIN00300105,Dabola,GIN003001,Faranah,GIN003,public,,
Doïzéa,,Bofossou,GIN00800403,Macenta,GIN008004,Nzerekore,GIN008,public,,
Doko Centre de Santé,,Doko,GIN00400502,Siguiri,GIN004005,Kankan,GIN004,public,,
Dombiadji,,Koumbia,GIN00100304,Gaoual,GIN001003,Boke,GIN001,public,,
Dondè,,Mafara,GIN00700108,Dalaba,GIN007001,Mamou,GIN007,public,,
Dondian,,Firawa,GIN00300406,Kissidougou,GIN003004,Faranah,GIN003,public,,
Donghol (Donghol-Sigon) Centre de Santé,,Yimbering,GIN00600413,Mali,GIN006004,Labe,GIN006,public,,
Donta,,Diari,GIN00600203,Labe,GIN006002,Labe,GIN006,public,,
Doubadou,,Diaraguerela,GIN00800103,Beyla,GIN008001,Nzerekore,GIN008,public,,
Doubaya,,Kintinian,GIN00400505,Siguiri,GIN004005,Kankan,GIN004,public,,
Dougbéla,,Diaraguerela,GIN00800103,Beyla,GIN008001,Nzerekore,GIN008,public,,
Dougountouny,,Dougountouny,GIN00600403,Mali,GIN006004,Labe,GIN006,public,,
Douka Seleyabhe,,Popodara,GIN00600211,Labe,GIN006002,Labe,GIN006,public,,
Doumou,,Sangardo,GIN00300411,Kissidougou,GIN003004,Faranah,GIN003,public,,
Doumoun Louda,,Telire,GIN00600411,Mali,GIN006004,Labe,GIN006,public,,
Dounet,,Dounet,GIN00700202,Mamou,GIN007002,Mamou,GIN007,public,,
Dounkito,,Arfamoussayah,GIN00300101,Dabola,GIN003001,Faranah,GIN003,public,,
Douprou,,Douprou,GIN00100102,Boffa,GIN001001,Boke,GIN001,public,,
Doura Centre de Santé,,Doura,GIN00400307,Kouroussa,GIN004003,Kankan,GIN004,public,,
Dourapa,,Bounouma,GIN00800501,Nzerekore,GIN008005,Nzerekore,GIN008,,,
Dps,,Mali Ctre,GIN00600409,Mali,GIN006004,Labe,GIN006,public,,
Dr Kaba BAH,,Dixinn,GIN00200101,Conakry,GIN002001,Conakry,GIN002,prive,,
Dr. Alpha Amadou Bah,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
Dr. Ibrahima Sory Cissoko,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,public,,
Dr. Mamady Diarre,,Banfele,GIN00400303,Kouroussa,GIN004003,Kankan,GIN004,public,,
Dr. Walburga Duranteau,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
Dyansoumana,,Balandougou,GIN00400101,Kankan,GIN004001,Kankan,GIN004,public,,
Faboridou,,Fouala,GIN00800105,Beyla,GIN008001,Nzerekore,GIN008,public,,
Face Côté Route,,Konsankoro,GIN00400205,Kerouane,GIN004002,Kankan,GIN004,public,,
Fadi,,Labe Ctre,GIN00600209,Labe,GIN006002,Labe,GIN006,public,,
Fadou,,Balizia,GIN00800401,Macenta,GIN008004,Nzerekore,GIN008,public,,
Fafaya Centre de Santé,,Fafaya,GIN00600101,Koubia,GIN006001,Labe,GIN006,public,,
Fakouroudouba,,Foumbadou,GIN00800302,Lola,GIN008003,Nzerekore,GIN008,public,,
Falama,,Faralako,GIN00400403,Mandiana,GIN004004,Kankan,GIN004,public,,
Fallandjan,,Tamita,GIN00100107,Boffa,GIN001001,Boke,GIN001,public,,
Fandié,,Maferinya,GIN00500308,Forecariah,GIN005003,Kindia,GIN005,public,,
Fandjéta,,Baguinet,GIN00100501,Fria,GIN001005,Boke,GIN001,public,,
Fandou,,Gbessoba,GIN00800107,Beyla,GIN008001,Nzerekore,GIN008,public,,
Fanhan,,Gama Berema,GIN00800303,Lola,GIN008003,Nzerekore,GIN008,public,,
Fankono,,Mamouroudou,GIN00400108,Kankan,GIN004001,Kankan,GIN004,public,,
Faoama,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
Faraba,,Dialokoro,GIN00400402,Mandiana,GIN004004,Kankan,GIN004,,,
Farassababèn,,Dialokoro,GIN00400402,Mandiana,GIN004004,Kankan,GIN004,,,
Farawandou (Yombiro) Centre de Santé,,Yombiro,GIN00300413,Kissidougou,GIN003004,Faranah,GIN003,public,,
Farawoya,,Albadariah,GIN00300401,Kissidougou,GIN003004,Faranah,GIN003,public,,
Fatako,,Fatako,GIN00600501,Tougue,GIN006005,Labe,GIN006,public,,
Fatala (N.F),,Fria Ctre,GIN00100503,Fria,GIN001005,Boke,GIN001,public,,
Fatoya,,Kintinian,GIN00400505,Siguiri,GIN004005,Kankan,GIN004,public,,
Fedekariah,,Bate Nafadji,GIN00400102,Kankan,GIN004001,Kankan,GIN004,public,,
Félah,,Santou,GIN00500508,Telimele,GIN005005,Kindia,GIN005,public,,
Fermessadou-Pombo,,Fermessadou,GIN00300405,Kissidougou,GIN003004,Faranah,GIN003,public,,
Fermessadouba,,Beindou,GIN00300404,Kissidougou,GIN003004,Faranah,GIN003,public,,
Fidako,,Niagassola,GIN00400508,Siguiri,GIN004005,Kankan,GIN004,public,,
Firadou,,Yende Millimou,GIN00300412,Kissidougou,GIN003004,Faranah,GIN003,public,,
FMG Carrière,,Matam,GIN00200103,Conakry,GIN002001,Conakry,GIN002,prive,,
FMG; minière,,Dixinn,GIN00200101,Conakry,GIN002001,Conakry,GIN002,prive,,
Fodéya,,Maferinya,GIN00500308,Forecariah,GIN005003,Kindia,GIN005,public,,
Fogo Centre,,Fatako,GIN00600501,Tougue,GIN006005,Labe,GIN006,public,,
Foozou,,Womey,GIN00800510,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Forage (Songoyah) Centre de Santé,,Songoyah,GIN00300310,Faranah,GIN003003,Faranah,GIN003,public,,
Fossikhouré,,Mambia,GIN00500407,Kindia,GIN005004,Kindia,GIN005,public,,
Fouaro,,Gbakedou,GIN00800106,Beyla,GIN008001,Nzerekore,GIN008,public,,
Foulata,,Malea,GIN00400506,Siguiri,GIN004005,Kankan,GIN004,public,,
Foumbadou,,Foumbadou,GIN00800302,Lola,GIN008003,Nzerekore,GIN008,public,,
Foussen,,Karifamoriah,GIN00400106,Kankan,GIN004001,Kankan,GIN004,public,,
Franidoun,,Koundian,GIN00400406,Mandiana,GIN004004,Kankan,GIN004,public,,
Frankouma,,Kobikoro,GIN00300306,Faranah,GIN003003,Faranah,GIN003,public,,
Franwalia Centre de Santé,,Franwalia,GIN00400503,Siguiri,GIN004005,Kankan,GIN004,public,,
Frenkamaya,,Kiniebakoura,GIN00400504,Siguiri,GIN004005,Kankan,GIN004,public,,
Friguiagbé,,Friguiagbe,GIN00500403,Kindia,GIN005004,Kindia,GIN005,public,,
